,0
artificial intelligence,1.0
use artificial,0.4730480197598602
intelligence base,0.42258585355958744
intelligence ai,0.3608808427061141
relate artificial,0.3440021160286578
intelligence machine,0.273892152127983
intelligence present,0.271511679246471
base artificial,0.26021601316761056
intelligence module,0.24383458818440484
figure artificial,0.22514902948446358
efficient use,0.21944598377283442
mean artificial,0.21624970277878808
provide artificial,0.21241727188298343
improve management,0.20744563865245336
ability acquire,0.20406901917970277
accurate date,0.20406901917970277
acquire accurate,0.20406901917970277
activity query,0.20406901917970277
adjust verbosity,0.20406901917970277
ai server,0.20406901917970277
alternate resource,0.20406901917970277
assistant search,0.20406901917970277
bandwidth response,0.20406901917970277
base wait,0.20406901917970277
channel bandwidth,0.20406901917970277
control response,0.20406901917970277
date response,0.20406901917970277
device incorporate,0.20406901917970277
group communication,0.20406901917970277
incorporate adjust,0.20406901917970277
management obtain,0.20406901917970277
management virtual,0.20406901917970277
prioritizing response,0.20406901917970277
provide management,0.20406901917970277
query ai,0.20406901917970277
redirect query,0.20406901917970277
resource prioritizing,0.20406901917970277
response activity,0.20406901917970277
response redirect,0.20406901917970277
response response,0.20406901917970277
response timing,0.20406901917970277
server alternate,0.20406901917970277
timing ability,0.20406901917970277
use channel,0.20406901917970277
wait method,0.20406901917970277
query communication,0.20280839729022482
anomaly present,0.2008553320180284
solve anomaly,0.2008553320180284
detail help,0.19644918682524293
follow invention,0.19644918682524293
help figure,0.19644918682524293
response provide,0.1961989670149763
communication use,0.19519952043669075
intelligence model,0.19397410353109068
verbosity response,0.19244031149886764
intelligence device,0.1840429408185862
module artificial,0.18096020919806977
describe detail,0.18056592682597405
figure sheet,0.17735990540242796
include artificial,0.17652835452087223
action artificial,0.1764633374470913
model objective,0.17556605928787716
application artificial,0.1750252986775671
organic lead,0.17501241656950417
unit artificial,0.17474219594453777
response base,0.1736133550309954
server control,0.1721424698440911
lead farming,0.17191241745959485
sheet block,0.1688924503403202
roadway stewardship,0.16866578345686734
stewardship system,0.16866578345686734
device artificial,0.16772300705824084
ai user,0.16729764206434972
automate use,0.16729764206434972
city highway,0.16729764206434972
comfortable parking,0.16729764206434972
commuter roadway,0.16729764206434972
complete solution,0.16729764206434972
condition city,0.16729764206434972
console use,0.16729764206434972
crowdsourced play,0.16729764206434972
crowdsourced roadway,0.16729764206434972
determination traffic,0.16729764206434972
drive ride,0.16729764206434972
driving condition,0.16729764206434972
earn money,0.16729764206434972
educate law,0.16729764206434972
help process,0.16729764206434972
highway allow,0.16729764206434972
individual earn,0.16729764206434972
interactive console,0.16729764206434972
law regulation,0.16729764206434972
legal comfortable,0.16729764206434972
monetization individual,0.16729764206434972
parking drive,0.16729764206434972
parking management,0.16729764206434972
play strong,0.16729764206434972
process interactive,0.16729764206434972
recognize educate,0.16729764206434972
regulate driving,0.16729764206434972
regulation use,0.16729764206434972
ride commuter,0.16729764206434972
roadway help,0.16729764206434972
role regulate,0.16729764206434972
safe legal,0.16729764206434972
strong role,0.16729764206434972
system crowdsourced,0.16729764206434972
system parking,0.16729764206434972
use monetization,0.16729764206434972
use roadway,0.16729764206434972
user train,0.16729764206434972
violation present,0.16729764206434972
intelligence roadway,0.1653322189452746
thing artificial,0.1650899511208197
action telecommunications,0.1643006524813404
agent artificial,0.1643006524813404
agent coordinate,0.1643006524813404
agent transmit,0.1643006524813404
carry intelligence,0.1643006524813404
coordinate artificial,0.1643006524813404
different action,0.1643006524813404
include orchestrator,0.1643006524813404
input orchestrator,0.1643006524813404
instruction artificial,0.1643006524813404
instruction orchestrator,0.1643006524813404
intelligence optimized,0.1643006524813404
intelligence skill,0.1643006524813404
intent express,0.1643006524813404
intent response,0.1643006524813404
medium artificial,0.1643006524813404
multiple artificial,0.1643006524813404
